WEEK,BLOCKCHAIN,NEW_TOKENS,CUMU_NEW_TOKENS
2023-03-20 00:00:00.000,arbitrum,65,717
2023-03-20 00:00:00.000,bsc,44,142
2023-03-20 00:00:00.000,ethereum,754,67860
2023-03-20 00:00:00.000,optimism,3,218
2023-03-20 00:00:00.000,polygon,21,2178
2023-03-27 00:00:00.000,arbitrum,39,756
2023-03-27 00:00:00.000,bsc,31,173
2023-03-27 00:00:00.000,ethereum,783,68643
2023-03-27 00:00:00.000,optimism,3,221
2023-03-27 00:00:00.000,polygon,18,2196
2023-04-03 00:00:00.000,arbitrum,20,776
2023-04-03 00:00:00.000,bsc,30,203
2023-04-03 00:00:00.000,ethereum,681,69324
2023-04-03 00:00:00.000,optimism,2,223
2023-04-03 00:00:00.000,polygon,27,2223
2023-04-10 00:00:00.000,arbitrum,31,807
2023-04-10 00:00:00.000,bsc,17,220
2023-04-10 00:00:00.000,ethereum,638,69962
2023-04-10 00:00:00.000,optimism,2,225
2023-04-10 00:00:00.000,polygon,22,2245
2023-04-17 00:00:00.000,arbitrum,78,885
2023-04-17 00:00:00.000,bsc,33,253
2023-04-17 00:00:00.000,ethereum,1265,71227
2023-04-17 00:00:00.000,optimism,4,229
2023-04-17 00:00:00.000,polygon,38,2283
2023-04-24 00:00:00.000,arbitrum,91,976
2023-04-24 00:00:00.000,bsc,17,270
2023-04-24 00:00:00.000,ethereum,1225,72452
2023-04-24 00:00:00.000,optimism,6,235
2023-04-24 00:00:00.000,polygon,29,2312
2023-05-01 00:00:00.000,arbitrum,194,1170
2023-05-01 00:00:00.000,bsc,20,290
2023-05-01 00:00:00.000,ethereum,1274,73726
2023-05-01 00:00:00.000,optimism,1,236
2023-05-01 00:00:00.000,polygon,36,2348
2023-05-08 00:00:00.000,arbitrum,150,1320
2023-05-08 00:00:00.000,bsc,20,310
2023-05-08 00:00:00.000,ethereum,1408,75134
2023-05-08 00:00:00.000,optimism,1,237
2023-05-08 00:00:00.000,polygon,47,2395
2023-05-15 00:00:00.000,arbitrum,75,1395
2023-05-15 00:00:00.000,bsc,18,328
2023-05-15 00:00:00.000,ethereum,1505,76639
2023-05-15 00:00:00.000,optimism,4,241
2023-05-15 00:00:00.000,polygon,66,2461
2023-05-22 00:00:00.000,arbitrum,69,1464
2023-05-22 00:00:00.000,bsc,27,355
2023-05-22 00:00:00.000,ethereum,1534,78173
2023-05-22 00:00:00.000,optimism,5,246
2023-05-22 00:00:00.000,polygon,65,2526
2023-05-29 00:00:00.000,arbitrum,69,1533
2023-05-29 00:00:00.000,bsc,17,372
2023-05-29 00:00:00.000,ethereum,1549,79722
2023-05-29 00:00:00.000,optimism,3,249
2023-05-29 00:00:00.000,polygon,48,2574
