DATE,UNIQUE_TOKEN_COUNT,AVG_TX_FEE_USD,AVG_ETH_PRICE
2021-03-27 00:00:00.000,1890,33.198174333,1697.236337747
2021-03-28 00:00:00.000,1916,35.169619935,1700.746427643
2021-03-29 00:00:00.000,1841,45.258235912,1750.884656361
2021-03-30 00:00:00.000,1856,50.408744487,1827.508464707
2021-03-31 00:00:00.000,1783,62.711213712,1846.30487681
2021-04-01 00:00:00.000,1789,59.42230771,1935.691326039
2021-04-02 00:00:00.000,1855,60.613391228,2021.191417921
2021-04-03 00:00:00.000,1915,53.835658992,2091.517133183
2021-04-04 00:00:00.000,1926,37.645741512,2050.996194843
2021-04-05 00:00:00.000,1868,50.15231307,2070.77194625
2021-04-06 00:00:00.000,1892,52.609181235,2115.818363986
2021-04-07 00:00:00.000,1844,52.543724308,2031.513079871
2021-04-08 00:00:00.000,1942,43.11710143,2024.638822463
2021-04-09 00:00:00.000,1959,41.597400977,2075.916751711
2021-04-10 00:00:00.000,2052,36.560822741,2133.161603429
2021-04-11 00:00:00.000,2050,30.330470163,2140.777074553
2021-04-12 00:00:00.000,1984,38.970137138,2148.72646211
2021-04-13 00:00:00.000,1975,43.185930501,2222.082336574
2021-04-14 00:00:00.000,1948,52.728378773,2347.865477775
2021-04-15 00:00:00.000,2088,38.412445875,2455.417670402
2021-04-16 00:00:00.000,1890,61.795706052,2435.996335499
2021-04-17 00:00:00.000,1980,50.480850839,2425.792727164
2021-04-18 00:00:00.000,1929,56.578509663,2198.64458764
2021-04-19 00:00:00.000,1944,60.495116705,2212.688030112
2021-04-20 00:00:00.000,1937,79.779959431,2187.62009641
2021-04-21 00:00:00.000,2076,58.144318898,2353.761983338
2021-04-22 00:00:00.000,2203,52.336483061,2488.470509717
2021-04-23 00:00:00.000,2238,43.168023202,2336.900009059
2021-04-24 00:00:00.000,2420,24.196218698,2262.336366157
2021-04-25 00:00:00.000,2552,21.285102464,2261.429039371
2021-04-26 00:00:00.000,2460,23.566900372,2460.4209845
2021-04-27 00:00:00.000,2411,26.036045612,2566.768678625
2021-04-28 00:00:00.000,2412,31.328374615,2674.198306397
2021-04-29 00:00:00.000,2380,29.643841633,2727.964314951
2021-04-30 00:00:00.000,2452,23.935571905,2767.91800043
2021-05-01 00:00:00.000,2625,20.702190113,2860.824251447
2021-05-02 00:00:00.000,2642,19.134247018,2930.733676348
2021-05-03 00:00:00.000,2568,30.204258729,3138.707747165
2021-05-04 00:00:00.000,2496,35.604273749,3350.76437201
2021-05-05 00:00:00.000,2488,30.136897367,3358.216003465
2021-05-06 00:00:00.000,2335,36.440525247,3485.396757846
2021-05-07 00:00:00.000,2287,36.971012616,3478.778224823
2021-05-08 00:00:00.000,2026,74.87272756,3644.360618929
2021-05-09 00:00:00.000,2161,71.902272427,3886.714329099
2021-05-10 00:00:00.000,2003,137.934755322,4044.003269656
2021-05-11 00:00:00.000,1894,179.620326218,3984.206897252
2021-05-12 00:00:00.000,2016,189.485643604,4183.390431475
2021-05-13 00:00:00.000,2147,110.487693689,3840.424734436
2021-05-14 00:00:00.000,2281,83.696834922,3950.343786628
2021-05-15 00:00:00.000,2405,61.732903238,3909.749831275
2021-05-16 00:00:00.000,2531,51.186508891,3685.691617576
2021-05-17 00:00:00.000,2376,54.364100714,3401.859190842
2021-05-18 00:00:00.000,2439,48.594459727,3414.541988951
2021-05-19 00:00:00.000,2122,151.533191035,2906.291410677
2021-05-20 00:00:00.000,2290,62.648447234,2702.796971447
2021-05-21 00:00:00.000,2374,53.653558244,2627.965451914
2021-05-22 00:00:00.000,2502,24.928019834,2349.880267858
2021-05-23 00:00:00.000,2317,54.33865801,2100.919815422
2021-05-24 00:00:00.000,2472,30.734983369,2371.681414883
2021-05-25 00:00:00.000,2500,24.340169944,2582.626695617
2021-05-26 00:00:00.000,2502,24.938466297,2781.482280729
2021-05-27 00:00:00.000,2553,20.09510368,2775.318823965
2021-05-28 00:00:00.000,2481,18.078092513,2574.80675588
2021-05-29 00:00:00.000,2606,14.457369381,2391.627779227
2021-05-30 00:00:00.000,2617,13.257356856,2375.290570534
2021-05-31 00:00:00.000,2677,17.299072939,2491.760258726
2021-06-01 00:00:00.000,2752,15.427411163,2615.624372672
2021-06-02 00:00:00.000,2670,15.401483631,2695.461883493
2021-06-03 00:00:00.000,2665,16.173657187,2795.283796747
2021-06-04 00:00:00.000,2655,14.177257265,2695.507773592
2021-06-05 00:00:00.000,2863,10.631107275,2691.732577498
2021-06-06 00:00:00.000,3044,9.187653016,2687.668123894
2021-06-07 00:00:00.000,2926,11.947115836,2751.851241362
2021-06-08 00:00:00.000,2761,14.11093873,2502.088653624
2021-06-09 00:00:00.000,2844,12.427403599,2531.364328766
2021-06-10 00:00:00.000,2836,10.55778069,2531.169681239
2021-06-11 00:00:00.000,2832,11.077693077,2435.751298697
2021-06-12 00:00:00.000,2842,10.387666255,2368.698919903
2021-06-13 00:00:00.000,2979,7.036834455,2394.609223702
2021-06-14 00:00:00.000,2856,10.294280732,2526.996450412
2021-06-15 00:00:00.000,2873,10.774580437,2581.662495459
2021-06-16 00:00:00.000,2855,10.285109033,2486.277436586
2021-06-17 00:00:00.000,2758,9.990776914,2397.534198008
2021-06-18 00:00:00.000,2709,10.126591077,2290.390633286
2021-06-19 00:00:00.000,2801,7.775946456,2234.963947064
2021-06-20 00:00:00.000,2772,8.202097617,2166.570555149
2021-06-21 00:00:00.000,2519,18.430219495,2040.507229569
2021-06-22 00:00:00.000,2492,25.773653067,1902.18159744
2021-06-23 00:00:00.000,2716,9.536505284,1972.284822886
2021-06-24 00:00:00.000,2705,8.107606072,1963.561459835
2021-06-25 00:00:00.000,2640,10.252479174,1909.913281335
2021-06-26 00:00:00.000,2827,6.352917519,1799.46298513
2021-06-27 00:00:00.000,2817,6.271295352,1844.862216771
2021-06-28 00:00:00.000,2762,9.931820416,2034.109517521
2021-06-29 00:00:00.000,2756,9.888810329,2172.684038289
2021-06-30 00:00:00.000,2699,11.510352065,2163.181315718
2021-07-01 00:00:00.000,2777,10.635695676,2161.279901687
2021-07-02 00:00:00.000,2881,7.240600349,2086.725084945
2021-07-03 00:00:00.000,2970,7.293433763,2196.236752159
2021-07-04 00:00:00.000,2991,6.472885546,2302.062384223
2021-07-05 00:00:00.000,2894,8.389242744,2260.482674327
2021-07-06 00:00:00.000,2452,19.309771832,2285.08854366
2021-07-07 00:00:00.000,2409,17.515530203,2361.606095597
2021-07-08 00:00:00.000,2471,15.357426701,2206.924211629
