WEEK,BLOCKCHAIN,UNIQUE_TOKEN_COUNT
2023-06-05 00:00:00.000,arbitrum,460
2023-06-05 00:00:00.000,bsc,168
2023-06-05 00:00:00.000,ethereum,8050
2023-06-05 00:00:00.000,optimism,118
2023-06-05 00:00:00.000,polygon,696
2023-06-12 00:00:00.000,arbitrum,426
2023-06-12 00:00:00.000,bsc,158
2023-06-12 00:00:00.000,ethereum,7672
2023-06-12 00:00:00.000,optimism,115
2023-06-12 00:00:00.000,polygon,669
2023-06-19 00:00:00.000,arbitrum,433
2023-06-19 00:00:00.000,avalanche,4
2023-06-19 00:00:00.000,bsc,169
2023-06-19 00:00:00.000,ethereum,7971
2023-06-19 00:00:00.000,optimism,114
2023-06-19 00:00:00.000,polygon,673
2023-06-26 00:00:00.000,arbitrum,426
2023-06-26 00:00:00.000,avalanche,4
2023-06-26 00:00:00.000,bsc,200
2023-06-26 00:00:00.000,ethereum,8128
2023-06-26 00:00:00.000,optimism,125
2023-06-26 00:00:00.000,polygon,664
2023-07-03 00:00:00.000,arbitrum,413
2023-07-03 00:00:00.000,avalanche,5
2023-07-03 00:00:00.000,bsc,199
2023-07-03 00:00:00.000,ethereum,8013
2023-07-03 00:00:00.000,optimism,123
2023-07-03 00:00:00.000,polygon,697
2023-07-10 00:00:00.000,arbitrum,426
2023-07-10 00:00:00.000,avalanche,20
2023-07-10 00:00:00.000,bsc,190
2023-07-10 00:00:00.000,ethereum,8502
2023-07-10 00:00:00.000,optimism,129
2023-07-10 00:00:00.000,polygon,750
2023-07-17 00:00:00.000,arbitrum,406
2023-07-17 00:00:00.000,avalanche,23
2023-07-17 00:00:00.000,bsc,190
2023-07-17 00:00:00.000,ethereum,8065
2023-07-17 00:00:00.000,optimism,124
2023-07-17 00:00:00.000,polygon,768
2023-07-24 00:00:00.000,arbitrum,384
2023-07-24 00:00:00.000,avalanche,29
2023-07-24 00:00:00.000,bsc,187
2023-07-24 00:00:00.000,ethereum,8028
2023-07-24 00:00:00.000,optimism,127
2023-07-24 00:00:00.000,polygon,781
2023-07-31 00:00:00.000,arbitrum,373
2023-07-31 00:00:00.000,avalanche,36
2023-07-31 00:00:00.000,base,5
2023-07-31 00:00:00.000,bsc,201
2023-07-31 00:00:00.000,ethereum,8369
2023-07-31 00:00:00.000,optimism,124
2023-07-31 00:00:00.000,polygon,782
2023-08-07 00:00:00.000,arbitrum,377
2023-08-07 00:00:00.000,avalanche,31
2023-08-07 00:00:00.000,base,323
2023-08-07 00:00:00.000,bsc,210
2023-08-07 00:00:00.000,ethereum,7996
2023-08-07 00:00:00.000,optimism,118
2023-08-07 00:00:00.000,polygon,770
2023-08-14 00:00:00.000,arbitrum,382
2023-08-14 00:00:00.000,avalanche,40
2023-08-14 00:00:00.000,base,177
2023-08-14 00:00:00.000,bsc,204
2023-08-14 00:00:00.000,ethereum,7986
